State,id,Murders,Rapes,Robberies,Assaults,Burglaries,Larencies,Thefts,Arsons,Population,Murders_Rate,Rapes_Rate,Robberies_Rate,Assaults_Rate,Burglaries_Rate,Larencies_Rate,Thefts_Rate,Arsons_Rate
Alabama,1,341,1283,4988,14857,46928,109949,9757,1025,4833722,7,26,103,307,970,2274,201,21
Alaska,2,21,439,591,2351,1781,13346,1223,136,718165,2,61,82,327,247,1858,170,18
Arizona,4,325,1725,7263,16638,50486,130487,17683,1405,6626624,4,26,109,251,761,1969,266,21
Arkansas,5,173,1219,2302,10032,32300,70327,5652,564,2959373,5,41,77,338,1091,2376,190,19
California,6,1879,7826,56484,94420,245558,634550,168515,7395,38332521,4,20,147,246,640,1655,439,19
Colorado,8,152,2106,3372,10161,25796,99295,11973,909,5268367,2,39,64,192,489,1884,227,17
Connecticut,9,109,876,3636,5212,13447,52794,6154,324,3596080,3,24,101,144,373,1468,171,9
Dalaware,10,56,249,1498,3245,7390,21882,1438,226,925749,6,26,161,350,798,2363,155,24
District of Columbia,11,88,236,4037,3505,3519,23575,3663,51,646449,13,36,624,542,544,3646,566,7
Florida,12,1009,5251,23836,63801,153262,440437,37203,1747,19552860,5,26,121,326,783,2252,190,8
Georgia,13,583,2118,12384,22126,85888,220545,28373,1213,9992167,5,21,123,221,859,2207,283,12
Hawaii,15,21,279,1125,1953,7653,31901,3865,312,1404054,1,19,80,139,545,2272,275,22
Idaho,16,25,474,237,2498,7188,23057,1371,238,1612136,1,29,14,154,445,1430,85,14
Illinois,17,768,2774,19309,29108,69372,228996,25986,2250,12882135,5,21,149,225,538,1777,201,17
Indiana,18,312,1555,6479,13324,44740,127699,12921,1211,6570902,4,23,98,202,680,1943,196,18
Iowa,19,49,879,955,6050,16948,47951,3951,560,3090416,1,28,30,195,548,1551,127,18
Kansas,20,85,1108,1492,7617,18823,64913,6756,825,2893957,2,38,51,263,650,2243,233,28
Kentucky,21,181,1289,3462,4723,29283,74992,6619,696,4395295,4,29,78,107,666,1706,150,15
Louisiana,22,487,1107,5325,15082,40635,108179,7666,568,4625470,10,23,115,326,878,2338,165,12
Maine,23,26,372,420,803,7451,24847,989,227,1328302,1,28,31,60,560,1870,74,17
Maryland,24,373,1237,10173,16301,33470,113740,14494,1367,5928814,6,20,171,274,564,1918,244,23
Massachusetts,25,122,1623,6471,18402,33968,97570,9085,613,6692824,1,24,96,274,507,1457,135,9
Michigan,26,700,4554,10381,28898,64825,155641,24843,2404,9895622,7,46,104,292,655,1572,251,24
Minnesota,27,98,2062,3450,6725,24838,102230,8251,823,5420380,1,38,63,124,458,1886,152,15
Mississippi,28,188,665,2003,3396,22202,42606,3542,351,2991207,6,22,66,113,742,1424,118,11
Missouri,29,390,1527,5781,19480,42525,140931,16328,1543,6044171,6,25,95,322,703,2331,270,25
Montana,30,22,337,199,1993,3664,20065,1546,187,1015165,2,33,19,196,360,1976,152,18
Nebraska,31,52,665,1122,2744,8335,36770,4054,200,1868516,2,35,60,146,446,1967,216,10
Nevada,32,117,924,4913,10676,22022,45215,9991,406,2790136,4,33,176,382,789,1620,358,14
New Hampshire,33,15,421,458,1410,4926,22379,927,307,1323459,1,31,34,106,372,1690,70,23
New Jersey,34,388,1034,11368,12889,42331,122204,16444,828,8899339,4,11,127,144,475,1373,184,9
New Mexico,35,107,805,1731,7778,19088,43006,4940,348,1871827,5,43,92,415,1019,2297,263,18
New York,36,682,2827,28585,47280,64066,291851,17158,1544,19651127,3,14,145,240,326,1485,87,7
North Carolina,37,472,1937,9245,22127,97256,207970,15827,1784,9848060,4,19,93,224,987,2111,160,18
North Dakota,38,14,250,117,1073,2247,10291,1043,79,723393,1,34,16,148,310,1422,144,10
Ohio,39,478,3678,15042,14572,100843,223250,19160,3577,11570808,4,31,129,125,871,1929,165,30
Oklahoma,40,216,1613,3208,12870,35765,81772,11564,898,3850568,5,41,83,334,928,2123,300,23
Oregon,41,88,1139,2422,5835,21653,92700,10122,975,3930065,2,28,61,148,550,2358,257,24
Pennsylvania,42,707,3369,15733,25561,57017,204282,15105,1729,12773801,5,26,123,200,446,1599,118,13
Rhode Island,44,35,292,715,1615,5929,18475,2629,182,1051511,3,27,67,153,563,1756,250,17
South Carolina,45,333,1709,4489,19815,45044,121839,13438,811,4774839,6,35,94,414,943,2551,281,16
South Dakota,46,15,474,141,1256,2846,12022,905,113,844877,1,56,16,148,336,1422,107,13
Tennessee,47,397,2042,8147,30530,56151,148484,12939,1213,6495978,6,31,125,469,864,2285,199,18
Texas,48,1148,7683,30369,67068,204837,605829,65043,4438,26448193,4,29,114,253,774,2290,245,16
Utah,49,51,961,1069,3699,12793,65493,5896,270,2900872,1,33,36,127,441,2257,203,9
Vermont,50,8,128,112,629,4146,10935,458,73,626630,1,20,17,100,661,1745,73,11
Virginia,51,322,1504,4717,9117,29633,139510,9114,1251,8260405,3,18,57,110,358,1688,110,15
Washington,53,211,2180,5755,12019,60417,164153,26099,1233,6971406,3,31,82,172,866,2354,374,17
West Virginia,54,70,398,794,4289,11109,28461,2194,329,1854304,3,21,42,231,599,1534,118,17
Wisconsin,55,168,1205,4671,9969,27365,102182,8110,728,5742713,2,20,81,173,476,1779,141,12
Wyoming,56,14,147,60,866,2053,10198,548,91,582658,2,25,10,149,352,1750,94,16
